order_id,customer_id,service_type,pickup_zone,dropoff_zone,order_value,driver_id,delivery_status,route_distance_km,manual_route_override_count,customer_rating_post_delivery,age,zone_clean,customer_type,loyalty_score,has_complaint
O00019,C0425,Passenger,North,CENTRAL,56.26,D014,OnTime,16.7,1.0,3.52,55,Riverside,Consumer,66.3,0
O00020,C0249,Retail,West,AIRPORT,100.78,D069,OnTime,12.27,1.0,4.33,26,West,Consumer,36.7,0
O00021,C0218,Passenger,WEST,NORTH,49.99,D166,OnTime,10.45,1.0,4.77,32,Central,Consumer,62.2,0
O00022,C0594,Retail,RiverSide,CENTRAL,134.88,D055,Delayed,4.45,0.0,4.36,70,East,Consumer,97.4,0
O00023,C0077,Passenger,north,north,122.25,D133,Failed,15.56,0.0,2.38,59,North,SME,61.7,1
O00024,C0397,Passenger,South,Riverside,132.2,D003,OnTime,17.9,0.0,4.76,33,West,Consumer,51.3,0
O00025,C0297,Passenger,North,RiverSide,66.51,D108,OnTime,11.32,1.0,4.64,72,West,Consumer,42.6,0
O00026,C0193,Parcel,East,West,51.09,,,,,,20,South,Consumer,84.0,0
O00027,C0024,Parcel,Riverside,north,96.62,D099,OnTime,8.6,1.0,5.0,66,West,Consumer,55.3,0
O00028,C0160,Retail,NORTH,South,59.44,,,,,,57,South,Consumer,62.8,0
O00029,C0366,Medical,EAST,Ctr,190.94,D037,Delayed,13.84,0.0,1.57,70,South,Consumer,,0
O00030,C0406,Medical,north,EAST,44.84,D008,OnTime,8.7,1.0,3.88,75,North,Consumer,57.7,0
O00031,C0573,Passenger,EAST,AIRPORT,55.14,D165,Failed,8.4,1.0,1.41,47,Airport,SME,57.3,1
O00032,C0297,Passenger,CENTRAL,East,126.43,D017,OnTime,14.01,4.0,3.54,72,West,Consumer,42.6,0
O00033,C0471,Retail,NORTH,East,36.7,D106,Failed,14.69,1.0,3.2,42,North,Consumer,59.9,0
O00034,C0023,Retail,North,South,40.88,,,,,,52,South,Consumer,73.1,0
O00035,C0524,Business,north,CENTRAL,209.07,D100,Failed,9.55,0.0,1.99,67,Riverside,Consumer,49.7,0
O00036,C0126,Parcel,Riverside,North,73.14,D135,Delayed,8.41,0.0,4.57,42,North,Consumer,64.5,0
O00037,C0015,Retail,EAST,Airport,119.31,,,,,,37,South,SME,54.5,0
O00038,C0142,Retail,Riverside,EAST,168.48,D118,OnTime,9.15,2.0,5.0,29,South,Consumer,47.0,0
O00039,C0351,Parcel,East,RiverSide,54.85,D040,OnTime,18.02,0.0,4.92,66,Central,Enterprise,48.6,0
O00040,C0014,Parcel,North,AIRPORT,74.65,,,,,,62,North,Consumer,94.1,0
O00041,C0243,Retail,RiverSide,West,19.15,,,,,,31,Riverside,Consumer,63.0,1
O00042,C0606,Retail,Riverside,Ctr,133.72,D113,Delayed,10.28,0.0,3.59,68,South,Consumer,64.3,0
O00043,C0416,Retail,EAST,RiverSide,48.59,D126,OnTime,16.23,1.0,4.81,34,South,Consumer,66.0,0
O00044,C0227,Business,West,Riverside,61.45,D131,OnTime,11.6,1.0,4.58,69,West,Consumer,62.2,0
O00045,C0326,Parcel,SOUTH,AIRPORT,56.64,D024,OnTime,14.39,1.0,4.74,60,West,Consumer,64.6,1
O00046,C0538,Parcel,NORTH,CENTRAL,85.48,,,,,,28,Central,Enterprise,84.5,0
O00047,C0220,Medical,WEST,north,39.57,D071,OnTime,19.03,0.0,4.7,47,South,SME,44.8,0
O00048,C0145,Medical,RiverSide,NORTH,43.37,,,,,,34,Airport,Consumer,99.0,1
O00049,C0380,Passenger,WEST,SOUTH,66.46,,,,,,24,Central,SME,32.6,0
O00050,C0544,Passenger,NORTH,Ctr,33.93,,,,,,72,North,Consumer,52.1,1
O00051,C0185,Business,AIRPORT,EAST,14.48,,,,,,40,South,Consumer,77.5,1
O00052,C0150,Retail,north,Riverside,293.65,D019,Delayed,13.6,1.0,3.72,58,North,Consumer,88.8,0
O00053,C0054,Parcel,East,East,73.56,,,,,,75,West,Consumer,42.4,0
O00054,C0478,Medical,NORTH,north,54.41,D157,OnTime,24.31,0.0,4.15,43,North,Consumer,43.6,0
O00055,C0454,Retail,Airport,RiverSide,73.7,D074,Delayed,37.02,0.0,3.55,28,South,Consumer,62.2,1
O00056,C0271,Parcel,South,CENTRAL,160.35,D150,OnTime,6.21,2.0,3.98,66,East,Consumer,65.1,1
O00057,C0226,Business,East,North,194.03,,,,,,74,West,Consumer,47.2,0
O00058,C0083,Passenger,South,EAST,51.95,D052,OnTime,22.04,0.0,4.37,28,West,Consumer,71.1,0
O00059,C0640,Passenger,CENTRAL,Airport,20.32,D038,Delayed,13.74,0.0,3.32,55,North,SME,50.8,0
O00060,C0258,Medical,north,EAST,37.52,D009,OnTime,4.02,1.0,3.26,50,Riverside,Consumer,71.4,0
O00061,C0289,Passenger,AIRPORT,north,238.9,D048,OnTime,24.74,1.0,4.46,19,North,SME,75.8,0
O00062,C0177,Passenger,West,AIRPORT,45.44,,,,,,39,East,Consumer,67.0,1
O00063,C0168,Retail,SOUTH,AIRPORT,57.56,D026,OnTime,15.1,1.0,4.99,70,Riverside,Consumer,54.3,0
O00064,C0346,Business,Central,RiverSide,45.43,D015,OnTime,14.6,1.0,4.53,46,Airport,Consumer,62.9,0
O00065,C0285,Parcel,SOUTH,West,61.59,,,,,,45,Riverside,Consumer,27.9,0
O00066,C0421,Passenger,SOUTH,EAST,237.58,D045,OnTime,17.31,0.0,3.9,34,Central,Consumer,59.0,0
O00067,C0339,Passenger,WEST,WEST,131.1,D004,OnTime,2.66,0.0,4.36,27,South,Consumer,46.6,0
O00068,C0084,Parcel,RiverSide,East,40.58,D008,Delayed,16.2,2.0,3.21,33,Airport,Consumer,55.8,0
O00069,C0369,Passenger,AIRPORT,RiverSide,103.29,D142,OnTime,33.129999999999995,0.0,4.53,42,West,Consumer,47.6,0
O00070,C0125,Retail,Ctr,AIRPORT,165.63,D111,Failed,7.92,0.0,2.14,31,Airport,Consumer,99.0,0
O00071,C0109,Medical,North,SOUTH,157.58,D018,Failed,7.04,1.0,4.2,78,North,Consumer,52.7,1
O00072,C0060,Medical,WEST,Riverside,7.32,,,,,,52,Central,Consumer,85.2,0
O00073,C0331,Passenger,Ctr,South,30.82,D095,Delayed,5.24,0.0,2.29,58,Riverside,Consumer,52.0,1
O00074,C0644,Parcel,Riverside,Riverside,20.6,D135,Delayed,12.69,1.0,5.0,46,Riverside,Consumer,51.1,0
O00075,C0026,Business,North,East,85.65,D167,OnTime,4.73,1.0,5.0,34,North,Enterprise,70.6,0
O00076,C0075,Retail,Ctr,Riverside,100.62,D043,Delayed,12.43,3.0,2.71,43,Central,Consumer,59.2,0
O00077,C0543,Medical,RiverSide,CENTRAL,150.98,D127,OnTime,4.49,2.0,4.38,20,Riverside,Consumer,47.0,0
O00078,C0434,Parcel,WEST,Riverside,94.04,D140,OnTime,10.21,0.0,4.53,62,East,Consumer,45.0,0
O00079,C0353,Parcel,WEST,AIRPORT,48.85,D065,OnTime,16.9,2.0,4.87,50,West,Consumer,62.8,0
O00080,C0082,Parcel,SOUTH,SOUTH,135.71,D101,OnTime,19.65,0.0,3.41,49,East,Consumer,72.8,0
O00081,C0004,Passenger,WEST,Airport,208.38,D108,Failed,7.85,1.0,4.11,75,Central,Consumer,32.5,1
O00082,C0531,Retail,Central,WEST,36.55,D135,OnTime,12.83,1.0,3.62,74,Central,SME,46.7,1
O00083,C0215,Medical,Airport,SOUTH,127.88,D153,OnTime,30.51,1.0,3.67,67,North,SME,64.4,0
O00084,C0103,Passenger,West,North,157.73,D010,Failed,15.18,2.0,4.04,20,Airport,Consumer,71.4,0
O00085,C0505,Passenger,north,Riverside,23.13,D045,OnTime,14.37,0.0,5.0,36,North,Consumer,51.9,0
O00086,C0255,Passenger,CENTRAL,AIRPORT,66.09,D054,OnTime,7.67,2.0,3.5,38,North,Consumer,51.9,0
O00087,C0476,Business,SOUTH,north,56.73,D165,Delayed,15.53,2.0,2.7,59,North,Consumer,66.0,1
O00088,C0157,Medical,RiverSide,East,101.67,D082,OnTime,18.51,1.0,4.57,50,Central,Consumer,67.9,0
O00089,C0339,Medical,South,North,52.58,D103,Failed,1.2,2.0,2.8,27,South,Consumer,46.6,1
O00090,C0490,Business,RiverSide,SOUTH,86.48,D053,OnTime,9.72,0.0,4.45,78,Central,Consumer,44.0,0
O00091,C0564,Parcel,West,AIRPORT,43.61,D078,OnTime,18.81,0.0,3.92,64,East,Consumer,48.6,0
O00092,C0268,Retail,SOUTH,East,56.53,D110,OnTime,14.85,2.0,4.55,65,East,Enterprise,64.3,0
O00093,C0083,Business,Ctr,West,184.11,,,,,,28,West,Consumer,71.1,0
O00094,C0361,Parcel,Airport,NORTH,62.08,D077,Delayed,17.369999999999997,2.0,3.11,65,South,Consumer,,1
O00095,C0378,Medical,SOUTH,NORTH,103.06,D119,OnTime,17.36,2.0,4.7,38,Riverside,Consumer,26.2,0
O00096,C0441,Business,North,WEST,153.48,D071,OnTime,7.62,0.0,4.64,42,South,Consumer,66.3,0
O00097,C0303,Parcel,Airport,Airport,72.64,D151,Delayed,32.72,0.0,4.64,66,North,Consumer,76.7,0
O00098,C0586,Passenger,North,SOUTH,79.53,,,,,,47,Central,Consumer,87.4,1
O00099,C0079,Retail,AIRPORT,EAST,75.64,D131,OnTime,16.049999999999997,4.0,4.99,61,East,Consumer,41.9,0
O00100,C0300,Passenger,RiverSide,NORTH,23.64,D023,Failed,12.72,0.0,3.15,37,Central,Consumer,65.2,0
O00101,C0633,Parcel,WEST,WEST,42.02,D088,OnTime,5.53,2.0,3.09,44,Central,Consumer,57.6,0
O00102,C0253,Passenger,CENTRAL,north,146.42,D159,OnTime,11.22,3.0,4.01,48,West,Consumer,49.4,0
O00103,C0456,Business,SOUTH,WEST,77.37,D034,Delayed,15.88,1.0,3.54,25,Central,SME,64.2,0
O00104,C0395,Passenger,EAST,Central,34.3,,,,,,76,South,SME,54.0,0
O00105,C0070,Passenger,north,EAST,18.19,D081,OnTime,18.8,0.0,5.0,51,West,Consumer,77.1,1
O00106,C0065,Business,East,Riverside,68.37,D097,OnTime,8.16,0.0,4.26,44,Central,Consumer,52.8,0
O00107,C0205,Medical,RiverSide,Ctr,182.35,D090,Delayed,6.01,1.0,3.71,62,Central,Consumer,52.1,0
O00108,C0046,Medical,WEST,EAST,70.18,D122,OnTime,11.22,0.0,4.68,72,Central,SME,84.8,0
O00109,C0427,Medical,WEST,EAST,9.68,D084,OnTime,6.47,1.0,3.13,66,North,SME,57.3,0
O00110,C0446,Passenger,Central,South,72.23,D075,OnTime,9.4,1.0,5.0,20,Airport,SME,65.9,0
O00111,C0521,Retail,EAST,Central,52.06,,,,,,47,Central,Consumer,62.3,1
O00112,C0051,Passenger,CENTRAL,West,86.44,D130,OnTime,13.07,3.0,3.11,37,East,Consumer,49.3,1
O00113,C0640,Business,EAST,north,113.54,D002,Failed,10.66,1.0,2.68,55,North,SME,50.8,0
O00114,C0144,Business,SOUTH,Riverside,15.52,,,,,,54,South,Consumer,58.4,0
O00115,C0157,Passenger,East,north,256.93,D032,OnTime,11.09,0.0,4.55,50,Central,Consumer,67.9,1
O00116,C0452,Passenger,NORTH,Airport,56.59,D120,OnTime,15.23,0.0,5.0,70,South,Consumer,61.4,1
O00117,C0516,Passenger,EAST,SOUTH,87.81,D010,OnTime,13.19,1.0,5.0,49,Central,Consumer,88.9,1
O00118,C0087,Retail,South,SOUTH,74.68,D095,OnTime,14.13,0.0,4.64,49,West,Consumer,46.8,0
O00119,C0229,Medical,NORTH,NORTH,66.42,D137,Delayed,4.26,2.0,1.93,52,Central,Consumer,23.4,0
O00120,C0182,Passenger,Airport,NORTH,85.27,D130,OnTime,39.900000000000006,2.0,3.71,21,East,Enterprise,47.2,0
O00121,C0604,Parcel,EAST,NORTH,75.67,D023,Delayed,19.9,0.0,2.92,30,West,Consumer,73.4,0
O00122,C0597,Medical,RiverSide,NORTH,27.55,D005,Failed,14.27,0.0,3.89,74,North,Consumer,57.2,0
O00123,C0649,Retail,WEST,EAST,21.55,D028,Failed,6.8,0.0,2.47,75,Central,Enterprise,42.1,0
O00124,C0481,Passenger,CENTRAL,Airport,34.31,,,,,,40,Riverside,Consumer,50.0,0
O00125,C0191,Retail,West,South,70.05,,,,,,27,North,Consumer,58.9,1
O00126,C0146,Parcel,AIRPORT,South,55.22,D100,Delayed,30.51,2.0,4.3,20,North,Consumer,99.0,1
O00127,C0572,Parcel,East,North,171.31,D132,Delayed,13.58,2.0,4.36,66,North,Enterprise,47.4,0
O00128,C0611,Medical,Airport,Airport,136.66,D117,Delayed,40.11,2.0,2.68,43,Airport,Consumer,37.2,1
O00129,C0538,Retail,Central,north,63.08,D167,Failed,17.64,0.0,2.59,28,Central,Enterprise,84.5,1
O00130,C0259,Passenger,Central,Airport,77.97,D130,OnTime,19.22,4.0,3.42,43,Central,Consumer,78.3,0
O00131,C0478,Retail,East,WEST,14.11,D085,Delayed,16.05,1.0,1.96,43,North,Consumer,43.6,0
O00132,C0224,Passenger,Ctr,CENTRAL,11.07,D149,Delayed,1.2,1.0,3.52,63,North,SME,50.9,0
O00133,C0365,Passenger,Airport,North,128.19,,,,,,47,Riverside,Consumer,49.3,0
O00134,C0010,Parcel,South,West,23.34,D154,OnTime,1.46,0.0,4.09,23,West,Consumer,87.2,0
O00135,C0364,Passenger,RiverSide,North,118.96,D144,Failed,1.21,1.0,3.35,67,Central,Consumer,70.5,0
O00136,C0413,Medical,North,South,20.82,D149,Delayed,3.51,1.0,3.27,32,Riverside,Consumer,57.4,0
O00137,C0295,Parcel,East,SOUTH,81.5,D135,OnTime,19.65,0.0,4.25,77,Riverside,Consumer,35.3,0
O00138,C0149,Business,South,AIRPORT,99.38,D124,Delayed,16.1,1.0,3.88,63,North,Consumer,58.7,0
O00139,C0545,Retail,WEST,AIRPORT,4.22,D033,Delayed,9.42,1.0,3.94,18,South,Consumer,66.9,0
O00140,C0621,Passenger,NORTH,North,89.5,D163,OnTime,13.95,0.0,3.95,78,Central,Consumer,55.3,0
O00141,C0605,Business,North,SOUTH,83.09,D163,OnTime,7.31,0.0,4.39,21,Airport,Consumer,54.9,0
O00142,C0628,Retail,Ctr,Airport,83.93,D024,Failed,14.64,1.0,1.0,75,North,Consumer,60.0,0
O00143,C0545,Passenger,Ctr,CENTRAL,69.38,D104,OnTime,18.33,2.0,4.86,18,South,Consumer,66.9,0
O00144,C0063,Business,Riverside,Central,288.86,D120,Delayed,15.53,1.0,3.54,78,North,Consumer,44.6,0
O00145,C0595,Business,North,RiverSide,35.95,D088,OnTime,10.05,1.0,5.0,72,Central,Consumer,48.3,1
O00146,C0168,Passenger,East,South,14.05,D121,OnTime,3.02,0.0,4.71,70,Riverside,Consumer,54.3,0
O00147,C0096,Retail,North,WEST,32.27,D049,OnTime,4.63,0.0,4.34,73,West,Consumer,31.8,1
O00148,C0401,Medical,EAST,EAST,86.3,D133,OnTime,14.34,2.0,2.92,33,Airport,Consumer,85.0,0
O00149,C0289,Business,West,North,31.06,,,,,,19,North,SME,75.8,0
O00150,C0246,Business,West,RiverSide,136.44,,,,,,32,Central,Consumer,63.8,0
O00151,C0446,Retail,WEST,EAST,179.57,D068,OnTime,2.99,0.0,4.03,20,Airport,SME,65.9,0
O00152,C0239,Retail,EAST,North,139.65,D001,OnTime,21.6,0.0,3.32,65,Central,SME,80.0,0
O00153,C0378,Parcel,NORTH,Airport,33.01,D109,Delayed,3.69,0.0,2.36,38,Riverside,Consumer,26.2,0
O00154,C0535,Business,North,Airport,105.88,D137,Delayed,13.63,0.0,2.62,39,South,Consumer,38.6,1
O00155,C0039,Retail,South,CENTRAL,155.77,,,,,,32,Central,Consumer,57.6,0
O00156,C0035,Parcel,West,NORTH,68.58,D025,OnTime,8.68,0.0,4.63,22,East,Consumer,46.7,0
O00157,C0513,Business,AIRPORT,North,60.52,D037,OnTime,26.36,0.0,4.83,50,East,Consumer,47.2,0
O00158,C0620,Business,Central,West,67.81,D129,Failed,6.06,2.0,2.77,46,Central,Consumer,33.7,0
O00159,C0505,Parcel,North,South,105.17,D018,OnTime,4.49,0.0,3.9,36,North,Consumer,51.9,0
O00160,C0478,Parcel,Central,EAST,68.1,D127,OnTime,9.49,5.0,3.85,43,North,Consumer,43.6,0
O00161,C0025,Parcel,South,AIRPORT,123.09,D015,OnTime,12.14,0.0,4.66,23,Riverside,Consumer,55.5,1
O00162,C0476,Business,South,Ctr,139.13,D020,OnTime,9.9,2.0,4.18,59,North,Consumer,66.0,0
O00163,C0583,Parcel,Central,north,67.97,,,,,,23,Airport,Consumer,84.2,1
O00164,C0622,Parcel,South,Ctr,211.8,D123,OnTime,8.31,0.0,4.85,22,Riverside,Consumer,54.2,0
O00165,C0275,Retail,NORTH,Central,122.59,D087,OnTime,16.14,1.0,4.14,56,East,Consumer,59.6,0
O00166,C0517,Passenger,East,South,76.66,D115,Delayed,10.81,1.0,4.06,66,Riverside,Consumer,38.5,1
O00167,C0325,Medical,East,EAST,24.78,D146,OnTime,30.01,0.0,3.37,37,South,Consumer,49.4,1
O00168,C0464,Parcel,CENTRAL,RiverSide,115.35,D103,Delayed,14.98,1.0,3.78,71,Airport,Enterprise,28.8,0
O00169,C0399,Retail,East,North,84.09,D160,OnTime,8.52,2.0,4.31,61,East,SME,93.0,1
O00170,C0005,Business,Airport,Airport,58.3,D016,OnTime,25.98,4.0,4.84,26,Riverside,Consumer,55.9,0
O00171,C0447,Parcel,Airport,AIRPORT,63.41,D158,OnTime,33.77,0.0,5.0,42,North,Consumer,28.5,1
O00172,C0343,Passenger,East,West,108.19,D109,Delayed,6.39,0.0,3.34,75,Central,Consumer,58.3,0
O00173,C0371,Passenger,Ctr,Central,249.32,D144,Failed,10.92,1.0,2.87,57,East,Consumer,28.5,0
O00174,C0537,Passenger,CENTRAL,north,19.65,,,,,,26,East,Consumer,63.1,0
O00175,C0562,Business,Riverside,West,150.9,D120,OnTime,6.47,1.0,4.69,56,West,Consumer,47.9,1
O00176,C0479,Retail,CENTRAL,Ctr,14.76,D093,OnTime,14.91,0.0,3.65,48,North,Enterprise,59.1,0
O00177,C0477,Passenger,North,WEST,109.36,D042,OnTime,11.26,1.0,4.39,53,South,SME,62.2,0
O00178,C0287,Medical,EAST,South,55.9,D073,OnTime,12.77,3.0,4.19,46,Central,Consumer,55.4,1
O00179,C0343,Parcel,CENTRAL,RiverSide,52.96,D087,OnTime,12.03,4.0,3.86,75,Central,Consumer,58.3,0
O00180,C0615,Parcel,CENTRAL,North,54.32,D105,OnTime,14.15,7.0,4.01,19,Airport,Consumer,48.2,0
O00181,C0252,Retail,AIRPORT,AIRPORT,108.19,D124,OnTime,33.46,3.0,4.46,38,North,Consumer,71.3,0
O00182,C0258,Passenger,WEST,WEST,109.03,D166,OnTime,4.98,1.0,4.15,50,Riverside,Consumer,71.4,0
O00183,C0102,Business,SOUTH,RiverSide,11.5,D098,OnTime,3.81,0.0,5.0,39,East,Enterprise,71.9,0
O00184,C0394,Parcel,Central,RiverSide,51.44,,,,,,66,Central,Consumer,70.8,0
O00185,C0482,Retail,EAST,Central,62.26,D010,OnTime,23.49,1.0,4.21,73,Riverside,Enterprise,74.8,0
O00186,C0007,Parcel,East,West,7.45,,,,,,54,West,Consumer,36.1,0
O00187,C0070,Medical,South,East,49.72,D155,OnTime,10.78,0.0,5.0,51,West,Consumer,77.1,0
O00188,C0558,Passenger,Riverside,Ctr,138.45,D096,Delayed,13.48,1.0,2.68,23,South,Consumer,64.3,0
O00189,C0388,Parcel,North,north,14.46,D018,OnTime,11.7,0.0,4.44,55,East,Consumer,51.6,0
O00190,C0622,Parcel,South,north,31.72,D150,OnTime,13.27,0.0,3.68,22,Riverside,Consumer,54.2,1
O00191,C0641,Parcel,CENTRAL,north,151.09,D170,OnTime,8.68,1.0,4.06,46,Central,Consumer,79.7,0
O00192,C0404,Retail,Ctr,NORTH,83.79,D083,Failed,12.14,1.0,3.23,25,East,Consumer,,0
O00193,C0114,Business,East,Ctr,202.67,D036,Delayed,9.24,2.0,4.25,38,Central,Consumer,72.2,0
O00194,C0191,Passenger,CENTRAL,RiverSide,92.07,D069,OnTime,15.77,2.0,4.17,27,North,Consumer,58.9,0
O00195,C0404,Retail,Ctr,East,18.03,D017,Delayed,18.13,1.0,3.49,25,East,Consumer,,0
O00196,C0314,Retail,Ctr,CENTRAL,151.74,,,,,,74,Riverside,SME,66.4,0
O00197,C0420,Retail,north,EAST,175.96,D075,OnTime,8.74,1.0,4.39,30,North,Enterprise,63.0,0
O00198,C0487,Parcel,West,Central,21.51,D129,OnTime,10.63,0.0,5.0,61,East,SME,63.9,0
O00199,C0595,Retail,NORTH,north,62.65,D039,OnTime,12.4,0.0,5.0,72,Central,Consumer,48.3,0
O00200,C0060,Passenger,Ctr,RiverSide,94.52,D093,OnTime,17.8,0.0,4.59,52,Central,Consumer,85.2,0
O00201,C0486,Passenger,north,South,118.29,D032,OnTime,11.65,2.0,4.15,50,West,Enterprise,52.5,0
O00202,C0449,Passenger,South,West,20.68,D074,OnTime,13.85,0.0,4.36,67,East,Enterprise,65.1,1
O00203,C0336,Business,CENTRAL,AIRPORT,84.76,D135,Failed,3.93,2.0,3.49,33,Airport,Consumer,,0
O00204,C0355,Passenger,AIRPORT,WEST,61.59,D142,Failed,31.38,0.0,4.79,39,Central,Consumer,49.1,0
O00205,C0246,Parcel,North,SOUTH,63.36,D120,Failed,8.64,0.0,3.14,32,Central,Consumer,63.8,0
O00206,C0255,Parcel,SOUTH,EAST,20.86,D095,Failed,6.64,1.0,2.74,38,North,Consumer,51.9,1
O00207,C0023,Business,Ctr,RiverSide,80.33,D082,OnTime,7.16,1.0,3.76,52,South,Consumer,73.1,0
O00208,C0359,Passenger,WEST,RiverSide,90.19,,,,,,23,Airport,Consumer,75.7,0
O00209,C0201,Retail,Airport,RiverSide,178.55,,,,,,49,Central,Consumer,69.2,0
O00210,C0347,Parcel,East,WEST,106.23,D113,OnTime,14.23,2.0,4.78,18,Riverside,Enterprise,54.9,0
O00211,C0488,Business,Airport,EAST,43.29,D107,Failed,32.42,4.0,3.9,63,West,Consumer,66.5,0
O00212,C0121,Parcel,EAST,Ctr,128.36,D153,OnTime,20.42,1.0,4.48,25,South,Consumer,90.9,0
O00213,C0512,Parcel,West,RiverSide,161.85,D120,OnTime,11.73,0.0,5.0,59,East,Consumer,38.5,0
O00214,C0088,Business,EAST,East,102.83,,,,,,43,Airport,Enterprise,58.2,0
O00215,C0341,Business,West,West,84.03,D033,OnTime,16.4,2.0,4.73,51,Riverside,Consumer,68.1,0
O00216,C0629,Retail,north,West,220.83,,,,,,67,East,SME,99.0,1
O00217,C0331,Retail,Airport,Airport,40.42,D091,OnTime,29.87,1.0,4.21,58,Riverside,Consumer,52.0,0
O00218,C0154,Passenger,north,West,77.97,D102,OnTime,12.01,0.0,5.0,23,East,SME,47.5,0
O00219,C0421,Passenger,East,South,62.84,D012,OnTime,10.75,0.0,4.29,34,Central,Consumer,59.0,1
O00220,C0428,Medical,CENTRAL,West,136.63,,,,,,66,Riverside,SME,52.9,1
O00221,C0298,Parcel,SOUTH,Airport,16.07,D158,OnTime,3.43,1.0,3.66,63,North,Consumer,66.9,0
O00222,C0266,Parcel,Riverside,WEST,27.35,D039,OnTime,10.01,1.0,3.41,47,East,Consumer,59.0,0
O00223,C0172,Retail,Ctr,AIRPORT,178.85,D087,OnTime,4.19,3.0,3.82,28,North,Consumer,75.4,0
O00224,C0045,Parcel,NORTH,Central,46.15,D040,Delayed,8.4,3.0,3.51,73,West,SME,82.0,0
O00225,C0290,Retail,RiverSide,RiverSide,25.8,D069,Failed,10.34,2.0,3.6,30,North,Consumer,49.6,0
O00226,C0292,Parcel,EAST,north,63.79,D081,OnTime,12.22,0.0,4.2,24,South,Consumer,73.2,0
O00227,C0174,Business,AIRPORT,NORTH,21.79,,,,,,74,North,Consumer,93.5,1
O00228,C0242,Parcel,East,AIRPORT,87.21,,,,,,21,East,Consumer,83.8,0
O00229,C0335,Passenger,CENTRAL,Riverside,33.48,D112,Delayed,7.56,4.0,3.44,33,North,SME,45.3,1
O00230,C0533,Passenger,CENTRAL,north,25.84,,,,,,35,South,Consumer,46.9,0
O00231,C0250,Passenger,East,South,69.44,D016,Delayed,15.82,0.0,2.75,58,West,SME,,1
O00232,C0533,Retail,RiverSide,Central,122.94,D083,OnTime,15.42,0.0,5.0,35,South,Consumer,46.9,0
O00233,C0252,Parcel,Riverside,South,100.64,D027,OnTime,13.45,3.0,4.34,38,North,Consumer,71.3,0
O00234,C0145,Parcel,South,RiverSide,42.01,D136,OnTime,13.68,0.0,5.0,34,Airport,Consumer,99.0,0
O00235,C0502,Retail,Ctr,Central,27.53,D134,Delayed,14.75,1.0,3.27,38,West,SME,36.3,0
O00236,C0429,Business,EAST,South,118.24,D005,Delayed,13.92,1.0,2.35,31,South,Consumer,66.6,0
O00237,C0431,Parcel,RiverSide,SOUTH,19.51,,,,,,76,West,SME,43.1,0
O00238,C0141,Parcel,SOUTH,West,192.22,D164,OnTime,11.63,0.0,5.0,37,West,Consumer,29.6,0
O00239,C0399,Parcel,Ctr,Central,31.43,D096,OnTime,12.6,1.0,3.49,61,East,SME,93.0,0
O00240,C0289,Passenger,EAST,AIRPORT,71.85,,,,,,19,North,SME,75.8,0
O00241,C0117,Parcel,West,north,99.3,D010,Failed,8.27,0.0,2.56,32,North,Consumer,31.3,0
